date,cash,market_value,static_unit_net_value,total_value,unit_net_value,units
2015-06-01,300582.914,698858.0,1.0,999440.914,0.999441,1000000.0
2015-06-02,300582.914,696048.0,0.999,996630.914,0.996631,1000000.0
2015-06-03,300582.914,703232.0,0.997,1003814.914,1.003815,1000000.0
2015-06-04,300582.914,730682.0,1.004,1031264.914,1.031265,1000000.0
2015-06-05,300582.914,723714.0,1.031,1024296.914,1.024297,1000000.0
2015-06-08,300582.914,766884.0,1.024,1067466.914,1.067467,1000000.0
2015-06-09,300582.914,753970.0,1.067,1054552.914,1.054553,1000000.0
2015-06-10,300582.914,740734.0,1.055,1041316.914,1.041317,1000000.0
2015-06-11,300582.914,733288.0,1.041,1033870.914,1.033871,1000000.0
2015-06-12,300582.914,733700.0,1.034,1034282.914,1.034283,1000000.0
2015-06-15,300582.914,706588.0,1.034,1007170.914,1.007171,1000000.0
2015-06-16,300582.914,695570.0,1.007,996152.914,0.996153,1000000.0
2015-06-17,300582.914,699880.0,0.996,1000462.914,1.000463,1000000.0
2015-06-18,300582.914,682106.0,1.0,982688.914,0.982689,1000000.0
2015-06-19,300582.914,650182.0,0.983,950764.914,0.950765,1000000.0
2015-06-23,300582.914,669452.0,0.951,970034.914,0.970035,1000000.0
2015-06-24,300582.914,675426.0,0.97,976008.914,0.976009,1000000.0
2015-06-25,300582.914,662382.0,0.976,962964.914,0.962965,1000000.0
2015-06-26,300582.914,616818.0,0.963,917400.914,0.917401,1000000.0
2015-06-29,300582.914,610542.0,0.917,911124.914,0.911125,1000000.0
2015-06-30,300582.914,654988.0,0.911,955570.914,0.955571,1000000.0
2015-07-01,300582.914,630114.0,0.956,930696.914,0.930697,1000000.0
2015-07-02,300582.914,629440.0,0.931,930022.914,0.930023,1000000.0
2015-07-03,307684.914,597064.0,0.93,904748.914,0.904749,1000000.0
2015-07-06,307684.914,635324.0,0.905,943008.914,0.943009,1000000.0
2015-07-07,307684.914,674236.0,0.943,981920.914,0.981921,1000000.0
2015-07-08,307684.914,609312.0,0.982,916996.914,0.916997,1000000.0
2015-07-09,307684.914,649164.0,0.917,956848.914,0.956849,1000000.0
2015-07-10,307684.914,667898.0,0.957,975582.914,0.975583,1000000.0
2015-07-13,307684.914,647502.0,0.976,955186.914,0.955187,1000000.0
2015-07-14,307684.914,624940.0,0.955,932624.914,0.932625,1000000.0
2015-07-15,307684.914,622300.0,0.933,929984.914,0.929985,1000000.0
2015-07-16,307684.914,619430.0,0.93,927114.914,0.927115,1000000.0
2015-07-17,307684.914,628564.0,0.927,936248.914,0.936249,1000000.0
2015-07-20,307684.914,622504.0,0.936,930188.914,0.930189,1000000.0
2015-07-21,307684.914,617746.0,0.93,925430.914,0.925431,1000000.0
2015-07-22,307684.914,613738.0,0.925,921422.914,0.921423,1000000.0
2015-07-23,307684.914,619402.0,0.921,927086.914,0.927087,1000000.0
2015-07-24,307684.914,609872.0,0.927,917556.914,0.917557,1000000.0
2015-07-27,307684.914,567636.0,0.918,875320.914,0.875321,1000000.0
2015-07-28,307684.914,576892.0,0.875,884576.914,0.884577,1000000.0
2015-07-29,307684.914,577536.0,0.885,885220.914,0.885221,1000000.0
2015-07-30,307684.914,564952.0,0.885,872636.914,0.872637,1000000.0
2015-07-31,307684.914,571484.0,0.873,879168.914,0.879169,1000000.0
2015-08-03,307684.914,594302.0,0.879,901986.914,0.901987,1000000.0
2015-08-04,307684.914,596194.0,0.902,903878.914,0.903879,1000000.0
2015-08-05,307684.914,585172.0,0.904,892856.914,0.892857,1000000.0
2015-08-06,307684.914,585514.0,0.893,893198.914,0.893199,1000000.0
2015-08-07,307684.914,589828.0,0.893,897512.914,0.897513,1000000.0
2015-08-10,307684.914,603060.0,0.898,910744.914,0.910745,1000000.0
2015-08-11,307684.914,596096.0,0.911,903780.914,0.903781,1000000.0
2015-08-12,307684.914,584438.0,0.904,892122.914,0.892123,1000000.0
2015-08-13,307684.914,583908.0,0.892,891592.914,0.891593,1000000.0
2015-08-14,307684.914,584940.0,0.892,892624.914,0.892625,1000000.0
2015-08-17,307684.914,577454.0,0.893,885138.914,0.885139,1000000.0
2015-08-18,307684.914,563358.0,0.885,871042.914,0.871043,1000000.0
2015-08-19,307684.914,565600.0,0.871,873284.914,0.873285,1000000.0
2015-08-20,307684.914,556556.0,0.873,864240.914,0.864241,1000000.0
2015-08-21,307684.914,536424.0,0.864,844108.914,0.844109,1000000.0
2015-08-24,307684.914,483778.0,0.844,791462.914,0.791463,1000000.0
2015-08-25,307684.914,452970.0,0.791,760654.914,0.760655,1000000.0
