date,cash,dividend_receivable,market_value,total_value,transaction_cost
2015-06-01,300582.914,0,698858.0,999440.914,559.086
2015-06-02,300582.914,0,696048.0,996630.914,0.0
2015-06-03,300582.914,0,703232.0,1003814.914,0.0
2015-06-04,300582.914,0,730682.0,1031264.914,0.0
2015-06-05,300582.914,0,723714.0,1024296.914,0.0
2015-06-08,300582.914,0,766884.0,1067466.914,0.0
2015-06-09,300582.914,0,753970.0,1054552.914,0.0
2015-06-10,300582.914,0,740734.0,1041316.914,0.0
2015-06-11,300582.914,0,733288.0,1033870.914,0.0
2015-06-12,300582.914,0,733700.0,1034282.914,0.0
2015-06-15,300582.914,0,706588.0,1007170.914,0.0
2015-06-16,300582.914,0,695570.0,996152.914,0.0
2015-06-17,300582.914,0,699880.0,1000462.914,0.0
2015-06-18,300582.914,0,682106.0,982688.914,0.0
2015-06-19,300582.914,0,650182.0,950764.914,0.0
2015-06-23,300582.914,0,669452.0,970034.914,0.0
2015-06-24,300582.914,0,675426.0,976008.914,0.0
2015-06-25,300582.914,0,662382.0,962964.914,0.0
2015-06-26,300582.914,0,616818.0,917400.914,0.0
2015-06-29,300582.914,0,610542.0,911124.914,0.0
2015-06-30,300582.914,0,654988.0,955570.914,0.0
2015-07-01,300582.914,0,630114.0,930696.914,0.0
2015-07-02,300582.914,0,629440.0,930022.914,0.0
2015-07-03,307684.914,0,597064.0,904748.914,0.0
2015-07-06,307684.914,0,635324.0,943008.914,0.0
2015-07-07,307684.914,0,674236.0,981920.914,0.0
2015-07-08,307684.914,0,609312.0,916996.914,0.0
2015-07-09,307684.914,0,649164.0,956848.914,0.0
2015-07-10,307684.914,0,667898.0,975582.914,0.0
2015-07-13,307684.914,0,647502.0,955186.914,0.0
2015-07-14,307684.914,0,624940.0,932624.914,0.0
2015-07-15,307684.914,0,622300.0,929984.914,0.0
2015-07-16,307684.914,0,619430.0,927114.914,0.0
2015-07-17,307684.914,0,628564.0,936248.914,0.0
2015-07-20,307684.914,0,622504.0,930188.914,0.0
2015-07-21,307684.914,0,617746.0,925430.914,0.0
2015-07-22,307684.914,0,613738.0,921422.914,0.0
2015-07-23,307684.914,0,619402.0,927086.914,0.0
2015-07-24,307684.914,0,609872.0,917556.914,0.0
2015-07-27,307684.914,0,567636.0,875320.914,0.0
2015-07-28,307684.914,0,576892.0,884576.914,0.0
2015-07-29,307684.914,0,577536.0,885220.914,0.0
2015-07-30,307684.914,0,564952.0,872636.914,0.0
2015-07-31,307684.914,0,571484.0,879168.914,0.0
2015-08-03,307684.914,0,594302.0,901986.914,0.0
2015-08-04,307684.914,0,596194.0,903878.914,0.0
2015-08-05,307684.914,0,585172.0,892856.914,0.0
2015-08-06,307684.914,0,585514.0,893198.914,0.0
2015-08-07,307684.914,0,589828.0,897512.914,0.0
2015-08-10,307684.914,0,603060.0,910744.914,0.0
2015-08-11,307684.914,0,596096.0,903780.914,0.0
2015-08-12,307684.914,0,584438.0,892122.914,0.0
2015-08-13,307684.914,0,583908.0,891592.914,0.0
2015-08-14,307684.914,0,584940.0,892624.914,0.0
2015-08-17,307684.914,0,577454.0,885138.914,0.0
2015-08-18,307684.914,0,563358.0,871042.914,0.0
2015-08-19,307684.914,0,565600.0,873284.914,0.0
2015-08-20,307684.914,0,556556.0,864240.914,0.0
2015-08-21,307684.914,0,536424.0,844108.914,0.0
2015-08-24,307684.914,0,483778.0,791462.914,0.0
2015-08-25,307684.914,0,452970.0,760654.914,0.0
2015-08-26,307684.914,0,481728.0,789412.914,0.0
2015-08-27,307684.914,0,525998.0,833682.914,0.0
2015-08-28,307684.914,0,523442.0,831126.914,0.0
2015-08-31,307684.914,0,528328.0,836012.914,0.0
2015-09-01,307684.914,0,541802.0,849486.914,0.0
2015-09-02,307684.914,0,549538.0,857222.914,0.0
2015-09-07,307684.914,0,513242.0,820926.914,0.0
2015-09-08,307684.914,0,521890.0,829574.914,0.0
2015-09-09,307684.914,0,526090.0,833774.914,0.0
2015-09-10,307684.914,0,530244.0,837928.914,0.0
2015-09-11,307684.914,0,525616.0,833300.914,0.0
2015-09-14,307684.914,0,535828.0,843512.914,0.0
2015-09-15,307684.914,0,522804.0,830488.914,0.0
2015-09-16,307684.914,0,531788.0,839472.914,0.0
2015-09-17,307684.914,0,524314.0,831998.914,0.0
2015-09-18,307684.914,0,527160.0,834844.914,0.0
2015-09-21,307684.914,0,525990.0,833674.914,0.0
2015-09-22,307684.914,0,534520.0,842204.914,0.0
2015-09-23,307684.914,0,523918.0,831602.914,0.0
2015-09-24,307684.914,0,522006.0,829690.914,0.0
2015-09-25,307684.914,0,519102.0,826786.914,0.0
