date,avg_price,last_price,market_value,order_book_id,quantity,symbol
2015-06-01,15.9,15.9,499260.0,000001.XSHE,31400.0,平安银行
2015-06-01,18.83,18.83,199598.0,600036.XSHG,10600.0,招商银行
2015-06-02,15.9,15.77,495178.0,000001.XSHE,31400.0,平安银行
2015-06-02,18.83,18.95,200870.0,600036.XSHG,10600.0,招商银行
2015-06-03,15.9,15.83,497062.0,000001.XSHE,31400.0,平安银行
2015-06-03,18.83,19.45,206170.0,600036.XSHG,10600.0,招商银行
2015-06-04,15.9,16.37,514018.0,000001.XSHE,31400.0,平安银行
2015-06-04,18.83,20.44,216664.0,600036.XSHG,10600.0,招商银行
2015-06-05,15.9,16.3,511820.0,000001.XSHE,31400.0,平安银行
2015-06-05,18.83,19.99,211894.0,600036.XSHG,10600.0,招商银行
2015-06-08,15.9,17.29,542906.0,000001.XSHE,31400.0,平安银行
2015-06-08,18.83,21.13,223978.0,600036.XSHG,10600.0,招商银行
2015-06-09,15.9,16.98,533172.0,000001.XSHE,31400.0,平安银行
2015-06-09,18.83,20.83,220798.0,600036.XSHG,10600.0,招商银行
2015-06-10,15.9,16.68,523752.0,000001.XSHE,31400.0,平安银行
2015-06-10,18.83,20.47,216982.0,600036.XSHG,10600.0,招商银行
2015-06-11,15.9,16.48,517472.0,000001.XSHE,31400.0,平安银行
2015-06-11,18.83,20.36,215816.0,600036.XSHG,10600.0,招商银行
2015-06-12,15.9,16.51,518414.0,000001.XSHE,31400.0,平安银行
2015-06-12,18.83,20.31,215286.0,600036.XSHG,10600.0,招商银行
2015-06-15,15.9,15.92,499888.0,000001.XSHE,31400.0,平安银行
2015-06-15,18.83,19.5,206700.0,600036.XSHG,10600.0,招商银行
2015-06-16,15.9,15.64,491096.0,000001.XSHE,31400.0,平安银行
2015-06-16,18.83,19.29,204474.0,600036.XSHG,10600.0,招商银行
2015-06-17,15.9,15.73,493922.0,000001.XSHE,31400.0,平安银行
2015-06-17,18.83,19.43,205958.0,600036.XSHG,10600.0,招商银行
2015-06-18,15.9,15.38,482932.0,000001.XSHE,31400.0,平安银行
2015-06-18,18.83,18.79,199174.0,600036.XSHG,10600.0,招商银行
2015-06-19,15.9,14.63,459382.0,000001.XSHE,31400.0,平安银行
2015-06-19,18.83,18.0,190800.0,600036.XSHG,10600.0,招商银行
2015-06-23,15.9,14.95,469430.0,000001.XSHE,31400.0,平安银行
2015-06-23,18.83,18.87,200022.0,600036.XSHG,10600.0,招商银行
2015-06-24,15.9,15.12,474768.0,000001.XSHE,31400.0,平安银行
2015-06-24,18.83,18.93,200658.0,600036.XSHG,10600.0,招商银行
2015-06-25,15.9,14.87,466918.0,000001.XSHE,31400.0,平安银行
